order_id,order_date,ship_date,customer,manufactory,product_name,segment,category,subcategory,region,zip,city,state,country,discount,profit,quantity,sales,profit_margin,profit_binary,revenue,revenue_per_unit,profit_per_unit,discount_amount,sales_without_discount
US-2020-103800,2019-01-03,2019-01-07,Darren Powers,Message Book,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",Consumer,Office Supplies,Paper,Central,77095,Houston,Texas,United States,0.2,5.5512,2,16.448,0.3375,1,10.8968,5.4484,2.7756,3.2896,20.56
US-2020-112326,2019-01-04,2019-01-08,Phillina Ober,GBC,GBC Standard Plastic Binding Systems Combs,Home Office,Office Supplies,Binders,Central,60540,Naperville,Illinois,United States,0.8,-5.487,2,3.54,-1.55,0,9.027000000000001,4.5135000000000005,-2.7435,2.8320000000000003,17.700000000000003
US-2020-112326,2019-01-04,2019-01-08,Phillina Ober,Avery,Avery 508,Home Office,Office Supplies,Labels,Central,60540,Naperville,Illinois,United States,0.2,4.2717,3,11.784,0.3625,1,7.512300000000001,2.5041,1.4239,2.3568000000000002,14.73
US-2020-112326,2019-01-04,2019-01-08,Phillina Ober,SAFCO,SAFCO Boltless Steel Shelving,Home Office,Office Supplies,Storage,Central,60540,Naperville,Illinois,United States,0.2,-64.7748,3,272.736,-0.2375,0,337.5108,112.5036,-21.5916,54.547200000000004,340.91999999999996
US-2020-141817,2019-01-05,2019-01-12,Mick Brown,Avery,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",Consumer,Office Supplies,Art,East,19143,Philadelphia,Pennsylvania,United States,0.2,4.884,3,19.536,0.25,1,14.652000000000001,4.884,1.6280000000000001,3.9072000000000005,24.42
US-2020-106054,2019-01-06,2019-01-07,Jack O'Briant,Dixon,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",Corporate,Office Supplies,Art,South,30605,Athens,Georgia,United States,0.0,5.2398,3,12.78,0.41,1,7.5402,2.5134,1.7466,0.0,12.78
US-2020-130813,2019-01-06,2019-01-08,Lycoris Saunders,Xerox,Xerox 225,Consumer,Office Supplies,Paper,West,90049,Los Angeles,California,United States,0.0,9.3312,3,19.44,0.48,1,10.1088,3.3696,3.1104000000000003,0.0,19.44
US-2020-167199,2019-01-06,2019-01-10,Maria Etezadi,Global,Global Deluxe High-Back Manager's Chair,Home Office,Furniture,Chairs,South,42420,Henderson,Kentucky,United States,0.0,746.4078,9,2573.82,0.29,1,1827.4122000000002,203.0458,82.93419999999999,0.0,2573.82
US-2020-167199,2019-01-06,2019-01-10,Maria Etezadi,Rogers,Rogers Handheld Barrel Pencil Sharpener,Home Office,Office Supplies,Art,South,42420,Henderson,Kentucky,United States,0.0,1.4796,2,5.48,0.27,1,4.000400000000001,2.0002000000000004,0.7398,0.0,5.48
US-2020-167199,2019-01-06,2019-01-10,Maria Etezadi,Ibico,Ibico Hi-Tech Manual Binding System,Home Office,Office Supplies,Binders,South,42420,Henderson,Kentucky,United States,0.0,274.491,2,609.98,0.45,1,335.48900000000003,167.74450000000002,137.2455,0.0,609.98
US-2020-167199,2019-01-06,2019-01-10,Maria Etezadi,Alliance,"Alliance Super-Size Bands, Assorted Sizes",Home Office,Office Supplies,Fasteners,South,42420,Henderson,Kentucky,United States,0.0,0.3112,4,31.12,0.01,1,30.8088,7.7022,0.0778,0.0,31.12
US-2020-167199,2019-01-06,2019-01-10,Maria Etezadi,Southworth,Southworth 25% Cotton Granite Paper & Envelopes,Home Office,Office Supplies,Paper,South,42420,Henderson,Kentucky,United States,0.0,3.0084,1,6.54,0.46,1,3.5316,3.5316,3.0084,0.0,6.54
US-2020-167199,2019-01-06,2019-01-10,Maria Etezadi,Other,Wireless Extenders zBoost YX545 SOHO Signal Booster,Home Office,Technology,Phones,South,42420,Henderson,Kentucky,United States,0.0,204.1092,4,755.96,0.27,1,551.8508,137.9627,51.0273,0.0,755.96
US-2020-167199,2019-01-06,2019-01-10,Maria Etezadi,GE,GE 30524EE4,Home Office,Technology,Phones,South,42420,Henderson,Kentucky,United States,0.0,113.6742,2,391.98,0.29,1,278.30580000000003,139.15290000000002,56.8371,0.0,391.98
